aaaa	工
sgop	醚
sgog	桠
sgoo	醾
sgow	醭
sgoy	梾
sgpe	𬪩
sgpx	酡
sgqy	酌
sgqk	酩
sgqn	杌
sgrb	酗
sgsh	酊
sgtk	酷 酪
sgtf	酢
sgto	醺
sgtq	酰
sgtx	酶
sgty	酥
sgud	𬂩
sguf	枰
sguk	醅
sgwv	酚
sgwo	醮
sgws	酴
sgxj	酯
sgyf	醉
sgyb	醇
sgyc	醨
sgye	酿
sgyh	酬
sgyl	醯
shg	相
shgc	椒
shjf	棹
shmy	桢
shnu	想
shnt	栌
shy	朴
sivg	档
sieg	梢
sigg	榉
sigq	桄
siit	桫
sipf	樘
sipq	𣗋
sitt	杪
sjgf	查
sjf	杳
sjfj	覃
sjlg	榅
sjng	榻
sjsy	棵
sjtl	槛
sjtq	榄
sjxx	棍
skd	可
skbg	楫
skf	杏
skgg	桯
skgn	枵
skkg	梠
skqn	柷
sksk	哥
sksw	歌
skwy	枳
slyt	楞
slh	柙
slny	楒
slpy	梿
slqy	椤
smu	贾
smfk	椆
smg	柚
smgk	桐
smmg	栅
smmv	樱
smnn	桤
smqn	枧
smry	㭎
smwn	梣
smwy	枘
snrt	杨
snbt	橄
sndg	椐
sng	栩
snhg	楣
snhf	杻
snig	樨
snie	榍
snn	札 杞
sou	杰 粟
sofg	桩
sooy	棪
sovg	楼
spqn	枕
spd	迺
spfi	棕
spgg	楦
sphn	棺
spqb	椀
sprw	槟
spsh	柠
spvg	桉
spwy	榷
spwf	榨
spwi	檫
spwk	榕
spxn	柁
sqcy	构
sqay	柢
sqdb	桅
sqdy	檐
sqef	槲
sqeg	檞
sqeh	桷
sqgj	橹
sqiy	桃
sqjg	栒
sqke	橡
sqkg	枸
sqnn	枹
sqtb	柳
sqyl	榴
sqyy	杓
srh	析
srcy	板
srdf	槔
srfh	楯
srfm	𬃊
srg	柏
srgb	栀
sriy	株
srmh	棉
srqc	槐
srqf	櫆
srrr	攀
srrd	樊
srrf	皙
srtf	椑
sryt	檄
sryy	柝
ssy	林
ssbh	郴
sset	彬
ssfi	禁
ssg	栖
ssgo	槱
ssjg	楂
sskg	柯
sslf	榃
ssmy	槚
ssnh	楚
ssou	焚
ssox	麓
ssqu	梦
sssu	森
ssss	木
ssu	栗
ssvf	婪
sswn	棽
sswv	棼
sswy	梵
stkg	格
stay	枨
stdj	桥
stdg	栝
stfn	橇
stfg	棰
stfh	杵 杄
stfk	梏
stfp	梃
stgs	桁
sthf	柞
sthp	梴
stmf	榭
stmy	栴
stni	栎
stoy	楸
stqi	㰀
sttt	覆
stuy	柊
stxy	梅
sty	枚
sugh	样 柈
suah	栟
sudg	栏
sudb	棬
sufh	梓
suga	槎
sujf	樟 橦
sukg	棓
sukk	榈
sukq	棁
suog	椪
susf	樽
susy	榇
suxt	梯
svey	根
svcq	概
svgp	楗
sviy	棣
svkg	柖
svoy	棂
swn	机
swbn	枪
swcy	松
swdc	椴
swfc	桧
swgg	检 栓
swgj	榆
swgn	枍
swgr	楩
swgs	梌
swgu	橙
swnp	槌
swry	枫
swwy	枞
swxf	桦
swyg	椎
swy	朳
swyb	槜
swyc	檎 柃
swyf	榫
swyo	樵
sxxr	楷
sxge	椽
sxxe	橼
sxxn	枇
syi	术
syck	梳
syfj	槠
sygg	柱
sykk	槁
sykb	椁
syke	榱
syki	椋
sylg	檀
syli	檩
symh	柿
synw	核
syni	栐
synn	杧
sypi	述
syt	枋
sytb	椸
syuy	榜
syvb	榔
syve	桹
sywr	校
sywn	杭
tkg	和
tayi	长
tabj	筇
tadw	箕
tadc	簸
tadk	箬
tagf	筐
tagd	箧
tahd	篚
tahp	逄
tak	升
take	簕
takf	笸
tamw	簧
tamf	篝
tamu	𬕂
tang	秬
taqj	簪
tavt	彻
tawy	筑
taww	筮
tbr	秀
tbf	季
tbpe	透
tbpv	迤
tbyu	笈
tcu	么
tcag	径
tcb	笆
tcde	䅟
tcgf	笃
tckf	笞
tcy	私
tdkg	知
tdaf	甜
tdan	矩
tdd	舌
tdg	牯
tdgn	舔
tdgu	短
tdgy	箴
tdhp	逢
tdi	夭
tdij	籍
tdjj	乔
tdjh	刮
tdkj	智
tdmj	岙
tdnn	乱
tdnj	稽
tdnm	嵇
tdny	牻
tdpd	适
tdqa	舐
tdqg	鸹
tdsk	犄 徛
tdty	敌
tdtf	筹
tdtj	矫
tdtn	憩
tdtv	矮
tdu	矢
tduf	辞
tdui	簝
tduj	矰
tdwy	雉
tdwf	矬
tdxy	笼
tdxh	矧
ter	务
teae	艨
tebg	稃
tebl	艋
tecn	舥
teeg	稻
teec	艘
teer	筋
tegg	租 徂
tegj	艚
tehk	甪
tehn	舻
tei	舟
teie	艄
tekf	笳
tekh	舯
telf	盘
temq	舰
temg	舳
temh	舢
tenn	艉
tepx	舵
tepu	笾
teqg	鸼
terg	舶 艎
term	徭
tesg	舾
tesk	舸
tetp	艇
tetf	舴
teuf	艟
teuh	艏
tevt	舠
tewc	般 舲
tewb	舱
tewd	磐
tewk	船
tews	槃 艅
texx	舭
teyw	航
teyr	舣
teyt	舫
teyx	舷
tffu	等
tfag	垂
tfcu	丢
tfd	壬
tfew	歃
tff	竺
tfff	筀
tffs	街
tffy	特 待
tfg	牡
tfgs	衎
tfh	秆
tfhg	稙
tfhs	衠
tfhw	稹
tfhy	徒
tfj	午 竿
tfk	千
tfkb	郜
tfkd	靠
tfkf	告
tfkg	秸 鹄
tfkp	造
tfln	德
tfnv	毛
tfnd	犊
tfng	毪
tfnj	氆 氇
tfnk	毡
tfnn	毳
tfno	毯
tfnp	毽
tfpd	廷
tfpk	迁 迕
tfpm	颋
tfqb	先 酂
tfqm	赞
tfqp	选
tfqu	筠
tftj	箸
tfux	乖
tfuk	穑
tfwf	稑
tfxy	笺
tgd	生
tgaj	笄
tgef	箐
tgel	簠
tgfj	竽
tghg	征
tghf	眚
tghn	惩
tgjf	重
tgjn	穗
tgjr	筻
tgk	牛
tgkg	牾
tgkm	籁
tgks	衙
tgkw	簌
tglo	熏
tgle	甥
tgmi	策
tgmu	箦
tgoy	徕
tgsh	行
tgsg	鸻
tgsy	秣
tgtg	犇 甡
tguf	秤
tgvi	秉
thi	处
thaj	算
thcy	彼
thd	自
thdc	篡
thdd	徘
thdi	纂
thdy	臭
thfn	怎
thff	乍
thfp	迮
thgn	片
thgc	版
thgd	牍
thgf	牌
thgs	牒
thgy	牖
thhy	徙
thhs	衢
thjf	昝
thkf	咎
thlj	鼻 劓
thle	齉
thlf	鼾
thlg	齇
thlk	齁
thlv	鼽
thnu	息
thpv	延
thsu	臬
thth	竹
thwy	犋
titt	秒
tieg	稍
tief	筲
tigf	簿
tign	愆
tigs	衍
timk	徜
tirf	箔
tivf	筜
tjgf	得 笪
tjf	香
tjfb	馞
tjgh	筛
tjh	利
tjjl	馧
tjnt	馝
tjsu	梨
tjsy	稞
tjtu	复
tjtg	犁
tjtl	篮
tjtt	馥
tkf	各
tkgg	程
tkhh	种
tkhm	篑
tkkf	筥
tkkg	稆
tkmy	禹
tkmb	鄅
tkmu	筼
tkwy	积 雒
tlf	备 盉
tld	血
tldh	衃
tldy	篾
tlff	睾
tlgj	箅
tlkg	徊
tlnu	惫
tlnf	衄
tlon	粤
tlqu	箩
tlqi	囱
tlri	囟
tlug	衅
tlwt	稷
tmkd	向
tmdt	身
tmdf	射
tmdk	躺
tmdr	躯
tmds	躲
tmdx	躬
tmdy	秧
tmf	笛
tmfk	稠
tmgt	微 徽 徵
tmgk	筒
tmhk	币
tmod	奥
tmqy	秽
tmqb	笕
tnii	乐
tnb	乞
tngk	笥
tnnw	筷
tnpv	迄
tntt	秘
toy	秋
tocg	释
togw	穙
toln	翻
tolb	鄱
tolf	番
tolg	𬸪
tomg	釉
tonu	愁 悉
tonr	簖
tonx	簏
toqg	鹙
tovf	篓
tphn	管
tpey	秾
tpfq	筦
tpge	稼
tpqb	箢
tpu	乏
tpwa	箜
tqrt	物
tqds	衡
tqfy	篯
tqgs	衔
tqiy	称
tqjg	徇
tqkf	笱
tqqy	移
tqrr	笏
tqti	黎
tqto	黧
tqvn	稳
tqvh	筝
trdh	稀
trah	箍
trcb	筢
trcg	箨
trfh	循
trgg	徨
trgf	篁
trhb	御
trhw	篪
trhy	笊
trie	穆
trkf	筘
trql	籀
trqq	篼
trtf	稗
trwy	秩
trxg	鹅
tryt	徼
tsu	条
tsg	牺
tsgf	笨
tshf	箱
tsjf	簟
tssu	篥 箖
tsyy	秫
ttfn	笔 牦
ttdu	笑
ttdp	篷
ttfk	牿 筶
ttfp	簉
ttfq	筅
ttgg	牲
ttgf	笙
tthf	笮 簰
tthp	筵
ttlx	篦
ttnt	秭 笫
ttqq	簃
tttt	禾
ttth	彳
tty	牧
tufh	科
tuej	箭
tuep	穟
tuf	笠
tufk	乎
tugh	徉
tujf	简 穜
tujj	螽
tukq	税
tulj	箪
tuu	冬
tuxv	乘
tuxj	剩
tvey	很
tvcu	笯
tvel	簋
tvf	委
tvgh	律
tvgp	犍
tvij	箫
tviu	箓
tvkf	笤
tvpd	逶
tvrc	魏
tvtr	笋
twgk	答
twau	筏
twb	秃
twcy	役
twdm	颓
twfu	符
twfi	穄
twgs	徐 稌
twga	籥
twgf	筌
twgg	签
twgj	劄
twht	筱
twik	黏
twiu	黍
twnd	篌
twyg	稚
twyn	稔
txht	第
txen	胤
txge	篆
txiu	系
txn	牝
txti	繁
txtg	鳘
txty	敏
txu	每
txxf	筚
txxn	秕
txyk	毓
tyi	入
tygg	往
tyiu	汆
tykk	稿 篙 犒
tyke	穰
tyna	篇 犏
tynn	牤
tyou	籴
tyrc	篱
tyt	彷 牥
tytd	簇
tyve	稂 筤
tyxs	衒
ute	产
uaj	并
uadr	凘
uafd	疳
uagy	瓶
uag	冮
uagd	疟
uaiy	冻
uajd	瘼
uakg	阈
uamw	癀
uapk	迸
uape	痨
uawk	瘩
ubd	闻
ubk	疗 疖
ubqn	瘾
ubtf	塑
ubte	朔
ubtg	癃
ubtp	逆
ubts	槊
uceh	痛
ucad	痉
ucde	瘆
ucgg	冯
ucgd	闯
uckg	冶
ucv	疤
ucwy	瘫
ucwt	竣
ucyj	瘙
udi	头
udbb	卷
udbh	郑
udci	闳
udcy	竑
udd	闫
udee	疬
udf	兰
udgy	减
udge	豢
udgi	辣
udhf	眷
udhk	痞
udhn	瘛
udjn	阉
udny	疣
udpi	送 闼
udqg	鲞
udrj	拳
udrf	瓣
udsu	桊
udu	关
udvr	券
udwd	凑
udxf	辫
udyy	状
udyf	辩 辨 誊
uejj	前
uegd	疽
uehc	瘦
uehk	痈
uejn	翦
uejo	煎
uejv	剪
uekw	瘸
uekd	痂
uepi	遂
uepc	阌
ueqv	阋
uewc	毅
uewi	瘐
ufk	斗
ufcl	阖
uffd	闺
uffi	痔
ufg	壮
ufhm	癫
ufhw	阗
ufj	辛
ufld	癗
ufnh	闱
ufni	痣
ufqb	羌
ufte	闭
uftj	阇
ufwj	养
ufwt	凌
ufye	装
ughf	着
ugaf	差
ugca	羟
ugcf	痓
ugcn	羓
ugct	羧
ugd	闰 闩
ugdi	羱
ugdu	美
ugeg	靖
ugey	瘃
ughd	症
ugj	羊
ugjh	判
ugjn	羯
ugk	半
ugkd	痦
ugki	竦
ugkj	瘌
ugkm	癞
ugku	痘
uglf	盖
ugli	阑
ugmw	病
ugmo	羰
ugnf	羞
ugng	翔
ugnu	恙
ugod	羹
ugou	羔
ugqj	冽
ugqe	疠
ugqg	鲝
ugqy	羑 羝
ugrc	叛
ugty	羲
uguk	善
uguw	羡
ugub	鄯
uguf	瘗
ugvf	姜
ugvv	凄
ugwc	羚 羖
ugxg	冱
ugxw	痍
ugyg	癍
ugyi	羕
uhkg	站
uhci	疲
uhdd	痱
uhdy	阒
uhhy	癯
uhk	丫
uhxv	疵
uiy	冰
uiit	痧
uitd	阔
uiwe	瘠
ujd	间
ujf	音
ujfb	鄣
ujfe	彰
ujff	童
ujfj	章
ujfm	赣
ujfn	戆 𦒍
ujgd	疸
uji	闽
ujjd	阊
ujld	瘟
ujnu	意
ujnd	阘
ujqb	竟
ujqn	竭
ujqu	韵
ujqw	歆
ujvk	韶
ukd	问
ukbh	部
ukgy	瓿
ukhh	冲
ukjh	剖
ukkm	癌
ukkd	闾
uknu	总
ukqn	况
ukqb	竞 兑
ulj	单
ulbh	郸
uldd	痼
ulgk	兽
ulgj	痹
uljb	鄫
uljf	曾
uljn	䎖
uljy	甑
ulk	闸
ulne	冁
ulsi	阃
ulxi	瘰
umdj	端
umfk	凋
umia	弊
umig	鳖
umih	瞥 蹩
umin	憋
umit	敝
umk	疝
ummv	瘿
umnv	闿
unwy	决
unac	癜
unbt	阚
ung	翊
unhc	瘕
uni	闷
unkf	癖
unre	疡
unwe	瘳
uogj	普
uoi	疢
uooi	痰
uovd	瘘
uqwy	次 瓷
uqaj	阍
uqdu	奖
uqed	阎
uqfy	将
uqgg	癣
uqiu	浆
uqjn	阄
uqkg	竘
uqmd	痪
uqnv	疱
uqsg	酱
uqsu	桨
uqvh	净 竫
uqwm	资
uqwk	咨
uqwl	盗
uqwn	恣
uqwo	粢
uqwv	姿
uqyl	瘤
uqyi	疚
usu	亲
usfd	𬮱
usfi	瘭
usgf	尊 酋
usgd	奠
usgp	遵 遒
usgy	猷
usi	闲
usk	疔
uskd	疴
usqg	鹇
usrh	新
ussy	凓
uswc	凇
uthp	道
utdi	疾
utdk	痴
utec	瘢
utee	彦
utem	颜
utfq	冼
uthf	首 痄
uthg	馘
uths	𫔶
utht	夔
uthx	瘪
utjk	痢
utkd	阁
utnv	疙
utui	疼
utvd	痿
uuuu	立
uubw	阙
uugk	痒
uuga	瘥
uujf	瘴
uujn	癔
uukq	阅
uulk	阐 瘅
uusi	痫
uvou	兼
uvei	痕
uvf	妾
uvg	妆
uvow	歉
uvog	鹣
uwyg	准
uwai	阀
uwbv	疮
uwci	疫
uwee	疹
uwfi	瘵
uwgd	痊 阕
uwi	闪
uwjk	疥
uwlf	益
uwlg	鹢
uwlj	蠲
uwnd	瘊
uwri	疯
uwry	飒
uwwf	痤
uwwi	疭
uwyc	冷
uxn	北
uxbh	邶
uxef	背
uxht	弟
uxhg	鹈
uxhj	剃
uxhp	递
uxlw	冀
uxth	凝
uxxu	兹
uxxb	孳
uxxg	鹚
uxxn	慈
uyhn	门
uyd	訚
uygd	疰
uyi	闵
uyki	凉
uyli	凛
uymh	闹
uynw	阂
uyve	阆
uywf	瘁
uywu	阏 瘀
uywv	闶
uyxi	痃
vafs	媒
vadk	婼
vadt	娀
vahh	姬
vajd	嫫
vako	嬿
vamf	媾
vamd	媖
vary	妪
vatn	嫕
vatq	娆
vbg	好
vbcy	娵
vbhj	媸
vbn	她
vbsk	婀
vbt	奶
vcbh	即
vcaq	既
vcag	暨 𫰛 𬶨
vcbf	孥 堲
vccg	驽
vcdf	砮
vcer	努
vceh	㛚
vcgg	妈
vckg	始
vcmh	帑
vcmw	胬
vcnu	怒
vcnh	妤
vcxb	弩
vcy	奴
vdg	姑
vdcy	妭
vdfe	娠
vdfn	姱
vdmd	媆
vdri	嫄
vdsk	婍
vdui	嫽
vepi	退
veff	垦
vegg	姐
vegc	媛
vehc	嫂
vei	艮
venu	恳
vepc	嫒
verm	媱
vfu	寻
vfac	彟
vfbh	𬩽
vfcy	妓 妘
vfdj	嬬
vffg	娃
vfh	奸
vfiy	妹
vfkk	嬉
vfkg	姞
vfmf	婻
vfqn	妩 妧
vfsh	孀
vftx	姥
vfuf	婞
vfuk	嫱
vgpk	建
vgah	妍
vgey	婊
vgeg	婧
vgho	嫣
vgjg	姮
vgk	聿
vgkt	嫩
vglb	婳
vgog	娅
vgvh	婕
vgxw	姨
vhaf	嫭
vhaw	虓
vhgc	婌
viu	录
vii	隶
vijk	肃
vijg	鹔
vijh	剥
vipi	逮 逯
viph	嫦
vitt	妙
vjd	旭
vjf	旮
vjfg	娌
vjgg	妲
vjgh	媞
vjjg	娼
vjlc	嫚
vjlg	媪
vjsu	巢
vjsj	剿
vjxx	婫
vkg	如
vkbh	邵
vkcb	邕
vkeg	娟
vket	劭
vkf	召
vkgd	娱
vkmw	娲
vknu	恕
vkpd	迢
vkxi	絮
vldy	姻
vlf	甾
vlge	嬛
vlrp	邋
vlxi	嫘
vmmg	姗
vmfk	婤
vmg	妯
vmgn	娉
vnt	刀
vngb	娜
vnhe	婿
vnhf	妞
vnhg	媚
vnn	妃
vntn	娓
vnwe	嫪
vnwy	嬥
vnxn	妮
vnyw	姒
vou	灵
vosc	嬷
vpge	嫁
vphn	婠
vpjh	婶
vpmh	帚
vpqb	婉
vprw	嫔
vpta	姹
vpv	巡
vqaj	婚
vqdb	姽
vqiy	姚
vqkq	娩
vqyg	鸠
vqyy	妁
vrtf	婢
vrgg	媓
vrgk	姤
vriy	姝
vsu	杂
vsfi	嫖
vtn	九
vtdj	娇
vtdy	妖
vte	尹
vtfg	妊
vtgg	姓
vthn	媳
vtkg	群
vtkb	郡
vtkf	君
vtkm	𫖳
vtlx	媲
vtnt	姊
vtry	娥
vuvo	嫌
vuah	姘
vudb	婘
vugd	媄
vujf	嫜
vulh	婵
vusy	娴
vutd	嫉
vuth	馗
vuxt	娣
vvg	妇
vvvv	女
vwyn	妗
vwgk	姶
vwgr	㛹
vwwg	孅
vwyc	姈
vxy	姆
vxxn	妣
vyve	娘
vyd	訄
vyi	刃 丸
vyks	婷
vylg	嬗
vynu	忍
vynt	妒
vyt	妨
vyty	妫
vyud	嫡
vyuh	媂
vywr	姣
wwww	人
wayy	代
wadk	偌
wadn	偡
waf	仝
waff	垡
waht	伢
wajg	借
wajv	偃
waqt	儆
waqj	僭
wary	伛
watq	侥
wawy	供
way	伐
waye	袋
wayf	垈
wayg	牮
waym	贷 岱
wayo	黛
wbn	他
wbay	戗
wbb	仓
wbbh	倻
wbg	仔 佴
wbjh	创
wbqg	鸧
wbt	仍
wbyy	伋
wcu	公 殳
wcdm	颂
wceh	俑
wcgy	瓮
wci	凤
wckg	佁
wcnf	翁
wcng	鹟
wctd	俟
wctg	侔
wcwt	俊
wcwy	傩
wcy	仅
wdty	做
wdag	佐
wdeg	侑
wdfa	倴
wdff	傉
wdfn	侉
wdg	估 仨
wdhd	偰
wdhg	伾
wdjn	俺
wdjg	佰
wdkg	佑
wdmd	偭
wdny	优
wdsk	倚
wdtf	俦
wdui	僚
wdwc	段
wdwg	俸
wdwi	傣
wdyy	伏 仗
wehh	佣
webg	俘
wekg	伽
wemf	偁
weqn	倪
wet	仂
wexd	傒
wfcu	会
wfam	偾
wfcb	郐
wfcj	刽
wfcy	伎
wfdj	儒
wffg	佳
wffy	侍
wfg	仁 仕
wfh	什
wfhg	值
wfiu	祭 佘
wfil	畲
wfkf	舍
wfkg	佶
wfkh	舒
wfkk	僖
wfny	传
wfnh	伟
wftx	佬
wfvg	佞
wfy	付
wgf	全
wgcj	倒
wgcf	侄
wgdu	癸
wgda	戣
wgef	傅
wgeb	鄃
wgeg	倩
wgej	俞
wgen	愈 毹
wgep	逾
wgeq	觎
wgey	俵
wgg	伍
wgij	剑
wgig	佥
wgit	敛
wgiy	俅
wgjr	便
wgkf	合
wgka	龠 弇
wgkb	命 郃
wgkg	鸽
wgkl	盒
wgkm	颌
wgkn	翕
wgkr	使 拿
wgkt	龢
wgku	登
wgkw	凳 歙
wgky	龛
wglg	僵
wgmw	俩
wgmy	债 俪
wgnb	兮
wgnj	侴
wgny	佤
wgod	俨
wgoy	俫
wgqj	例
wgqi	夙
wgqt	傲
wgsu	余
wgsc	叙
wgsf	斜 㙦
wgsl	畬
wgsn	悆
wgsp	途
wgud	侠
wgxi	傃
whj	个
whdd	俳
whf	企
whgc	俶
whjf	倬
whmy	侦
whnd	候
whte	修 脩
whtn	悠 翛
whty	攸 倏
whwy	俱
why	仆
wipc	偿
wieg	俏
wimk	倘
wipq	傥
wjj	介
wjfg	俚
wjgg	但
wjhh	伸
wjjg	倡
wjmy	偶
wjqn	偈
wjsy	倮
wksy	保
wkgd	俣
wkhy	促
wkhh	仲
wkkg	侣
wkkn	侃
wksf	堡
wkso	煲
wlg	佃
wlge	偎 儇
wlll	儡
wlny	偲
wmh	仙
wmfk	倜
wmgk	侗
wmgn	俜
wmjh	侧
wmqn	伣
wmwy	催
wnhc	假
wnbm	倔
wndg	倨
wngk	伺
wngf	偓
wnkf	僻
wnn	亿
wnnf	阜
wnnp	追
wnnw	僎
wntd	侯
wntt	佖
wnwe	僇
wnxn	伲
wnyw	似
wny	伈
woy	伙
wono	儦
wooy	倓
wota	侂
wovg	偻
wowf	俯
wpgg	伫
wpey	侬
wpfi	倧
wphn	倌
wprw	傧
wpta	侘
wpwa	倥
wpwy	傕
wpxn	佗
wqiy	你 佻
wqay	低
wqbh	仰
wqdy	儋
wqin	您
wqke	像
wqkg	佝
wqky	儳
wqqy	侈
wqrn	偬
wqvg	㑇
wri	风
wrbj	爷
wrcb	爸
wrdh	俙
wrec	飕
wrfu	釜
wrg	伯
wrgd	凰
wrhk	飐
wrhw	飓
wriy	侏
wrln	飔
wrnr	飏
wrqq	爹
wrqc	傀
wrql	飗
wrqn	飑
wrrj	斧
wrtf	俾
wru	父
wrwy	佚
wsgg	体
wsh	仃
wsjh	剁
wskg	何
wsoy	僳
wsqg	鸺
wssy	傈
wsu	朵
wsy	休
wty	八
wtay	伥
wtcy	仫
wtdj	侨
wtdg	佸
wtet	伤
wtfg	任 倕
wtfh	仟 仵
wtfm	赁
wtfn	恁
wtfp	侹
wtfq	侁
wtfw	凭
wtgh	件
wthf	作
wtjh	俐
wtlt	傻
wtn	几
wtnn	仡
wtry	俄
wtuy	佟
wtvg	倭
wtxy	侮
wug	位
wudb	倦
wufj	伞
wugh	伴 佯
wujf	僮
wukg	倍
wulj	僧
wulh	𫢸
wun	们
wuqw	佽
wusf	僔
wvr	分
wvbh	邠
wvdm	颁
wvff	坌
wvgp	健
wvlf	盆
wvmu	贫
wvmj	岔
wvn	仇
wvnu	忿
wvpc	侵
wvtt	伊
wvty	攽
wvyy	仞
wwy	从
wwbf	耸
wwbn	伧
wweg	俎 佾
wwfd	坐
wwfc	侩
wwfi	傺
wwgf	丛
wwgg	俭 佺
wwgh	佩
wwgj	偷
wwjh	价
wwkf	谷
wwkb	郤
wwkg	鹆
wwkw	欲 谼
wwn	仉
wwnu	怂
wwvt	份
wwwu	众
wwwk	俗
wwxn	伦
wwyc	伶
wwyo	僬
wxn	化
wxb	仑
wxdm	倾
wxfj	华
wxjh	佛
wxmu	货
wxxr	偕
wxxn	仳
wyg	信 隹
wybr	隽
wycu	令
wycb	邻
wycg	鸰
wycm	领
wycn	翎
wycy	瓴
wyey	依
wyfj	储 隼
wygg	住
wyi	凡
wyjh	侪
wyks	停
wyke	儴
wykf	售
wyki	倞
wyky	僦
wynb	今
wyna	偏
wyne	衾
wynk	含
wynl	盦
wynm	贪 颔
wynn	念
wyou	焦
wyog	鹪
wyoj	劁
wyoy	㑊
wyry	仪
wyrc	禽
wysu	集
wyt	仿
wyty	伪
wyuy	傍
wyve	食 俍
wywg	犨
wywn	伉
wywr	佼
wyxy	伭
wyyy	雠
xcag	经
xag	红
xadt	绒
xafg	绀
xakf	缂
xanw	练
xann	绁
xary	𫸩
xatq	绕
xbyy	级
xbg	弭
xbhc	弢
xbmh	绌
xbn	弛
xccc	缀
xcgh	绎
xckg	绐
xcnh	纾
xcy	弘
xdmy	顷
xdcy	绂 纮
xdd	毋
xdff	缛
xdfn	绔
xdgy	缄
xdjx	弼
xdmd	缅
xdsk	绮
xdtb	绑
xdui	缭
xegg	组
xeeg	绷 弸
xegc	缓
xepc	绶
xet	幼
xevg	绥
xfxy	线
xfcy	纭
xfd	毌
xfdj	𦈡
xfgg	疆
xfhw	缜
xfkg	结
xfkm	缬
xfmu	贯
xfnd	续
xfnh	纬
xfqg	鸨
xftj	绪
xfwt	绫
xfy	纣
xgbn	纯
xgcf	绖
xgef	缚
xgeg	𬘬
xgej	蠡
xgeu	彖
xgfh	纡
xgjr	绠
xglg	缰
xgmy	绩
xgoa	彝
xgoj	缙
xgtx	彘
xhh	引
xhdd	绯
xhit	缈
xhjf	绰
xitt	纱
xidm	颍
xieg	绡
ximk	绱
xjmu	费
xjf	旨
xjgh	缇
xjhh	绅
xjk	弗
xjlc	缦
xjlg	缊
xjqc	艴
xjtq	缆
xjxx	绲
xkjy	强
xkbg	缉
xkeg	绢
xkh	𬘓
xkhp	缱
xkjn	绳
xkjg	犟
xkks	缲
xkwy	织
xlg	细
xldy	𬘡
xlff	𬙊
xlge	缳
xlny	缌
xlxi	缧
xmry	纲
xmfk	绸
xmkg	䌹
xmmv	缨
xmwy	纳
xnn	纪 幻
xnaj	缗
xngn	弓
xnhh	纠
xnhf	纽
xnny	母
xnwe	缪
xonn	继
xodm	颎
xojf	缠
xot	纩
xovg	缕
xoxn	粥
xoxh	鬻
xpwj	缩
xpfi	综
xpfq	𬘫
xpgh	绽
xpgg	纻
xpgw	𬙂
xphn	绾
xpqn	𬘘
xprw	缤
xqyy	约
xqan	纸
xqcn	绝
xqiy	弥
xqjg	绚
xqrm	绹
xqvg	绉
xryt	缴
xrcy	弧
xrdh	𫄨
xriy	缐
xrmh	绵
xsfi	缥
xshg	缃
xssy	𬘭
xtay	张
xtah	绛
xtbt	绣
xtdh	疑
xtdg	肄
xtdm	颖
xtdp	缝
xte	乡
xtfh	纤
xtfg	纴
xtfm	缵
xtfp	𬘩
xtgo	𫄸
xtgs	绗
xthk	绺
xthp	𫄧
xtkg	络
xtn	匕
xtnn	纥
xtsy	绦
xtuy	终
xtwe	飨
xuxu	弱
xudb	绻
xugh	绊
xugk	缮
xujn	𫄷
xulh	弹
xulj	缯
xuvo	缣
xuwl	缢
xuxt	绨
xviy	绿
xvjs	缫
xvkg	绍 弨
xvlg	缁
xvyy	纫 纨
xwgk	给
xwdc	缎
xwfc	绘
xwnd	缑
xwnp	缒
xwvt	纷
xwwy	纵
xwwk	绤
xwxn	纶
xwyg	维
xxn	比
xxal	畿
xxfj	毕
xxff	坒
xxgf	丝
xxge	缘
xxgg	鸶
xxgx	毙
xxhh	纼
xxjh	绋
xxnt	毖
xxrf	皆
xxxn	纰
xxxx	幺
xycq	统
xykb	𬘯
xyke	缞 𬙋
xyki	弶 𫟅
xykk	缟
xyna	编
xyrc	缡
xyt	纺
xyuh	缔
xywr	绞
xyxy	弦
xyy	纹
ygd	主
yafs	谋
yaay	试
yaah	诫
yadk	诺
yadn	谌
yag	讧
yagg	诓
yaht	讶
yajd	谟
yakg	谨
yans	谍
yang	讵
yaqj	谮
yary	讴
yaww	诬
yayk	谎
ybmh	诎
ybcy	诹
ybh	邡
ycqb	充
ycaj	弃
ycef	育
yceh	诵
ycgh	译
yckg	诒
ycnk	谲
ycne	袤
ydny	诚
ydg	诂
ydgy	𫍯
ydiy	诔
ydmj	斋
ydoy	诙
yeu	衣
yeeu	裒
yegg	诅
yegc	谖
yehc	𫍲
yemk	裔
yemg	亹
yerm	谣
yewy	谀
yfh	计 讦
yffy	诗
yffg	诖
yfhm	赟
yfhq	𨭉
yfhy	斌
yfjh	讲
yfkg	诘
yfmy	谳
yfnd	读
yfnh	讳
yftj	诸
yfxy	𬣡
yfy	讨
ygeg	请
ygey	诼
ygfh	𬣙
yghg	证
ygjn	𬤝
ygkg	语
ygli	谏
yguf	评
yhgg	让
yhag	谑
yhcy	诐
yhdd	诽
yhu	卞
yhy	讣
yieg	诮
yipq	谠
yjh	刘
yjgh	𬤊
yjhg	齑
yjj	齐
yjjh	剂
yjlc	谩
yjqn	谒
yjsy	课
yjse	裹
ykiy	就
ykbb	郭
ykbf	享 塾
ykbg	鹑
ykbj	亨
ykbl	亸
ykbo	熟 烹
