aaa	工
wtdm	俄而
wtdn	八成
wtdw	任期 任其
wtdy	作态 舍我其谁 仸
wtet	伤 俢
wtee	八月
wtef	人各有志
wteh	作用 任用
wtel	八舅
wtem	八股
wteq	侨胞 任选
wtey	侜
wtfg	任 八十 䣸
wtfa	倕
wtfb	恁地
wtfd	贪得无厌 人逢喜事精神爽
wtfe	作协 偛
wtff	八卦 偫
wtfh	仟 仵
wtfi	人生无常 䋕
wtfn	恁 作声
wtfo	鵀 㶵
wtfp	信得过 侹
wtfs	分身无术 栠
wtft	作者 任教
wtfy	作坊
wtga	作弄
wtgc	做得到
wtge	働
wtgf	倂 偅
wtgk	傻事 傻逼
wtgl	作画
wtgo	作恶
wtgq	伤残 作死
wtgr	值得一提
wtgw	众敌环伺
wthg	㑅 㑑
wthi	八叔
wthj	偺
wthk	作战 倃
wthn	㤰
wthq	作物
wthv	傻眼
wtif	作法
wtim	作弊
wtir	作派
wtjh	俐 傻冒
wtjd	伤悲
wtjr	傷
wtjt	似笑非笑
wtka	作呕
wtkc	偊
wtke	作别
wtkg	八号 佫 俰
wtkk	作品 伤口
wtkm	公务员 伤员 凭吊
wtkt	作响
wtkw	含血喷人
wtlt	傻 作图
wtlf	作罢
wtlg	俄国 作践 侐 俻
wtlh	佭
wtln	傯
wtlw	侨界
wtly	人生路不熟
wtma	作曲
wtmf	伤财
wtmg	作贱
wtmh	任由
wtmr	作风 伤风
wtmt	㑗
wtmw	任内
wtnn	仡
wtna	侨民
wtnc	作怪
wtnd	侨居
wtng	贪生怕死
wtnh	傻蛋
wtnj	侮慢
wtnq	分秒必争
wtnt	任性
wtny	伤心
wtoc	作序
wtog	作业
wtol	僠
wton	作废 僁 僽
wtou	作料
wtov	作数
wtoy	作为 偢
wtpa	伤寒
wtpb	八字
wtpd	伤害
wtpf	倭寇
wtpg	作家
wtpl	俄军
wtpn	作官
wtpr	众矢之的
wtpt	作客
wtpv	作案
wtpw	凭空
wtpy	伤神
wtqe	八角
wtqi	作乐
wtqj	八旬 㒐
wtqk	任免
wtqq	公积金
wtry	俄
wtrb	全盘托出
wtrc	傻瓜
wtrg	伤兵
wtrk	作揖
wtrn	凭据 傻气
wtrr	伤逝
wtrv	伤势 作势
wtsg	作梗
wtsh	令行禁止
wtsk	八哥
wtsl	人微权轻
wtss	作梦
wtsy	八核
wttb	作秀
wttd	作乱
wtte	任务
wttf	你追我赶
wttg	人生自古谁无死
wtth	作息
wttm	伤身
wtts	分身乏术
wttt	傻笑
wttw	作答
wtuy	佟 倒行逆施
wtuc	伤痛 伤疤
wtue	任前
wtuf	任重道远
wtug	伤病
wtuh	凭着
wtuj	任意
wtun	修身养性
wtuq	侨资
wtut	人行道
wtuv	伤痕
wtux	八弟
wtvg	倭
wtvb	作好
wtvd	傻姑
wtve	八姐
wtvf	八妹
wtvn	傻妞
wtvp	八婶
wtvr	含笑九泉
wtvs	人生如梦
wtvt	任君
wtvv	傻女
wtwa	凭借 今生今世
wtwc	全知全能
wtwd	凭仗
wtwe	何年何月
wtwg	例行公事
wtwh	傱
wtwk	任命 作保
wtwm	八仙
wtwn	作假
wtws	任何
wtwt	任凭 仵作 人生何处不相逢
wtwu	作伴
wtwv	八分
wtww	伤人 任人
wtwx	信息化
wtxy	侮
wtxd	俄顷
wtxi	係
wtxk	八强
wtxt	侨乡
wtyf	作诗
wtyg	凭证 作证
wtyj	任课
wtyl	人微言轻
wtyn	伤亡 作词
wtyq	八方
wtyt	八旗
wtyy	作文 从长计议 俄文
wun	们
wufj	伞
wufh	伴
wuaa	含辛茹苦
wuag	傞
wuah	併
wuaj	含羞草
wuat	佯攻
wubb	位子
wubd	伴随
wubf	父慈子孝
wubt	伞降
wuce	位能
wuck	倦怠
wudb	倦
wudc	位码
wudg	倍感
wudo	儯
wudu	念兹在兹
wudw	伴奏
wued	儱
wuee	伴月
wueg	僩
wuej	偂
wuek	倍加
wuel	伴有
wuep	倍受
wuff	坐北朝南
wufu	倍增
wug	位 們
wuga	伞形
wugf	位于
wugi	人间天堂
wugn	从头到尾
wugq	位列
wugy	儀
wuh	佯
wuhi	倍频
wuhw	伞具
wuig	倍添
wuim	低头不见抬头见
wuip	坐立不安
wuiv	禽兽不如
wuiy	低头不语 伴游
wujf	僮
wujg	偣 僴
wujh	傽
wujn	億
wujq	傍晚 傹
wujt	傍晌
wukg	倍
wuke	低头哈腰
wukj	伴唱
wukk	化妆品
wuko	分门别类
wukq	侻
wukw	俯首听命
wulj	僧
wulf	位置
wulg	公交车
wult	位图
wumb	俯首帖耳
wumd	㒀
wume	伞骨
wumg	伴同
wund	位居
wunx	僧尼
wuop	焦头烂额
wuov	倍数
wupy	傍
wuph	偙
wupw	倦容
wuqc	倦色
wuqg	倦鸟
wuqn	何首乌
wuqq	余音袅袅
wuqt	伴儿
wuqw	佽
wury	佼
wure	俲
wurf	人头攒动
wurg	伞兵
wurk	健美操
wurl	伴舞
wurq	分道扬镳
wurt	位卑 傚
wusf	僔
wusg	偤
wush	位相
wusk	倍速
wusq	儭
wusw	坐冷板凳
wusy	似曾相识
wutd	㑵
wute	偐
wutm	傍身
wutp	倦乏
wutq	位移
wuts	集装箱
wutt	休养生息
wuu	仒
wuuf	佯装
wuug	伞盖 傡
wuuh	伴着
wuuj	倦意 伴音
wuuk	僐
wuuo	佛头着粪
wuuq	位次
wuur	贫病交迫
wuuy	众叛亲离
wuvg	倿
wuvi	倒背如流 从善如流
wuvm	从善如登，从恶如崩
wuvo	傔
wuvy	伴娘
wuwe	傻头傻脑
wuwi	侯门似海
wuwk	伴侣 八音盒
wuwn	仰首伸眉
wuwr	人前人后
wuwu	佼佼
wuww	僧人
wuwx	倍化
wuxe	偝
wuxi	余音绕梁
wuxt	俤
wuxu	欲盖弥彰
wuyf	伴读
wuym	位高
wuyv	伴郎
wuyx	倍率
wuyy	人道主义
wvr	分
wvfp	健
wvaa	分工 分式 餞
wvab	分节
wvad	贫苦 饃 䭊
wvae	分散 饛
wvaf	䭦
wvag	饉
wvaj	弅 䭙
wvak	饇
wval	饚
wvar	分区 餀
wvas	䭎 䭟
wvat	饊
wvay	餝
wvbb	分子 岔子 盆子
wvbf	倾巢出动
wvbg	分隔 餌
wvbh	邠 㑡
wvbi	仇隙
wvbm	分出 飿
wvbp	分院
wvbw	分队
wvcc	餟
wvce	众怒难犯
wvck	飴
wvct	餕
wvcy	分叉 伮
wvdm	颁 分布 颁布 分页 頒
wvda	餴
wvdb	倾巢而出
wvdd	健硕 餪
wvde	餬 餦 䭉
wvdf	侵夺
wvdg	分厂 㑬
wvdh	健在 䬪
wvdi	䭜
wvdn	分成 餣
wvdw	分期 伊春
wvdx	侵袭
wveb	侵犯
wvec	餿
wvee	饀
wveg	飷
wvel	分有
wvem	饡
wven	䭡
wvep	盆腔
wvet	作奸犯科
wvev	餒
wvey	健脑
wvff	坌 分封
wvfa	盆栽 䬻
wvfb	盆地 餑
wvfc	分支
wvfh	分赴 伜 飦 侓
wvfk	饎
wvfl	饁
wvfm	饙
wvfn	分场
wvfq	饒 䬧
wvfu	饐
wvfy	分寸
wvg	㚢
wvga	分开 岔开
wvgc	分到
wvgd	侵吞
wvgf	䬹
wvgh	䭄
wvgj	分理
wvgl	䭍
wvgn	飩
wvgq	分裂
wvgs	䬴
wvgu	餖
wvgx	从始至终
wvgy	分班 瓫
wvhf	分歧
wvhi	分步 健步 饖
wvhk	侵占 䬯
wvhl	儘
wvhq	分餐
wvia	分洪
wvif	八九不离十 饄
wvig	分清
wvin	分泌
wvir	分派
wvis	饓
wvit	分省
wviw	盆浴
wviy	分流
wvja	分晓
wvjc	作如是观 饅
wvje	分明
wvjf	分野 饆
wvjg	分量
wvji	䭘
wvjl	饂
wvjn	餲
wvjr	餳
wvjs	餜 㑿
wvju	蚠
wvjx	餛
wvjy	盆景 蝕
wvkc	䭂
wvke	分别 饢 䬼
wvkg	分号 佋 侞
wvkh	贫嘴
wvkk	岔口
wvkm	饋
wvkp	䭤
wvkx	兺 㖌
wvlf	盆 䭞
wvld	䭅
wvle	健胃 餵
wvln	儠
wvls	贫困
wvlt	侵略 岔路
wvlw	分界
wvly	饠
wvmu	贫 貧 䭓
wvmj	岔
wvmc	䬦
wvmd	䬬
wvme	餶
wvmg	贫贱
wvmh	分贝 㑎
wvmk	餇 䭨
wvmm	分册
wvmn	飢
wvmo	分赃
wvmt	分账
wvmw	分内
wvn	仇
wvna	贫民
wvnd	分居 分忧
wvne	䬿
wvnf	分层
wvnk	飼
wvnn	分局
wvnp	䭀
wvnt	分发 颁发 飶 䭛
wvnu	忿 分屏
wvnv	仇恨
wvnw	饌 䬮
wvny	分心
wvod	分类 饝 䭩
wvoh	分店
wvoi	䭧
wvok	餹
wvoo	餤 䭖
wvou	炃
wvov	健康 分数
wvow	䭠
wvox	麄
wvoy	分为 分米
wvpc	侵 㑴
wvpa	贫寒
wvpd	分割 侵害
wvpe	贫农
wvpg	贫富 分家 仇家
wvpl	餫
wvpn	館
wvpp	分之
wvps	䭢
wvpw	贫穷
wvpy	仇视 分神
wvqb	仇怨 飹
wvqc	分色
wvqd	忿然
wvqe	分解 餡
wvqf	分针
wvqg	分钱
wvqh	分外
wvqi	分销 餆
wvqk	分钟 䬲 䭇
wvql	伊甸 餾
wvqm	贫铀
wvqn	侵蚀 飽
wvqo	鳻
wvqq	䬷
wvqt	健儿
wvqv	䬨
wvqw	飲
wvqy	饞 䬫
wvra	分拣
wvrc	分摊 飯 餽
wvrd	侵扰
wvre	颁授 餚
wvrg	分兵 餭
wvrh	分掉 餙
wvrj	分担
wvrn	岔气
wvro	餼
wvrq	他妈的
wvrr	分拆
wvrs	仇杀
wvrt	分手
wvrw	借刀杀人
wvrx	分批
wvsc	侵权
wvsf	分枝 餺
wvsg	分配 餷 䬱
wvsh	飣
wvsi	分档
wvsk	餗
wvsm	分机
wvsr	分析
wvsu	分校
wvsy	分述 餔
wvtt	伊
wvta	飥
wvtd	仇敌 餂 飫
wvte	分舵 飭
wvtf	飪 飵 餠
wvtg	分行
wvth	分片 飾
wvti	分秒
wvtj	伊犁
wvtk	侰 餉 餎
wvtl	贫血
wvtm	健身 分身
wvtn	䬣 䭒
wvtp	分管 贫乏 䭔
wvts	餰
wvtu	分科
wvtv	餧
wvty	侵入 攽 餓
wvu	飠
wvua	分差 餅
wvud	分头 分送
wvuf	健壮 饈 䭚 䬳
wvug	健美
wvuh	分站 䬺
wvui	贫瘠
wvuj	分章
wvuk	分部 餢 饍
wvun	䭐
wvuo	餻 䭑
wvup	餸
wvuq	颁奖 健将 䬽 䭗
wvur	餃
wvut	岔道 贫道 䬾
wvuu	分立
wvuv	䭥
wvuy	分辨 分辩
wvvc	伊始 忿怒
wvvi	分录
wvvk	䬰
wvvp	䭈
wvvq	分娩
wvvt	分群 䬢
wvvy	䬶
wvwd	分段 餱
wvwe	飻
wvwf	分会 餁
wvwg	健全
wvwj	䭝
wvwk	餄
wvwn	䭃
wvws	分体 餘 䭋
wvwu	贫僧
wvwv	忿忿
wvww	仇人 伊人 餩
wvwx	分化 侵华
wvwy	飤
wvxa	分红
wvxb	分级
wvxe	分组 餯
wvxn	分母
wvxu	贫弱
wvxw	颁给 饑
wvyy	仞 分文 仭
wvy	佷
wvya	䭏
wvyb	分享
wvye	餏 饟
wvyf	䭣
wvyg	颁证 飳 饘
wvyh	飰 㒊
wvym	分设
wvyn	健忘 分词
wvyo	健谈
wvyp	分毫
wvyr	分离
wvyu	分说
wvyv	伊朗
wvyw	䬵
wwy	从 仈
wwwk	俗 人命 从命
wwaa	人工
wwag	韱
wwah	人臣
wwai	坐落 㦰
wwaj	谷草
wwan	人世 从艺
wwat	从医
wwbf	耸 人际
wwbb	谷子 份子
wwbc	偷取
wwbg	父债子还 人耳
wwbm	偷出
wwbn	伧
wwbp	众院
wwbw	仪仗队
wwcd	人参 坐骑
wwce	怂恿
wwck	坐台
wwcm	价值观
wwcn	人马 倊 傟
wwct	人仰马翻
wwcy	伀
wwdc	价码
wwdd	人大 俗套
wwdf	倾盆大雨
wwdh	坐在
wwdm	从而
wwdt	人寿
wwdx	偷袭
wwdy	侃侃而谈
wwej	偷 偷腥
wweb	人犯 从犯 偸
wwee	舒舒服服
wwef	代人受过
wweg	俎 佾
wwek	人造
wwen	人力
wweq	人选
wwew	人脸
wwey	人脑 念念有词 人脉
wwfd	坐
wwfb	坐地
wwfc	侩 八仙过海，各显神通 从动 偷运
wwff	价款 仁人志士
wwfg	人士 谷雨
wwfh	偷走 坐直
wwfi	从未 欲求 八仙过海 傺
wwfj	剉
wwfk	倽
wwfn	人声
wwfq	人均
wwft	人才 佼佼者 夎
wwfw	人堆
wwgf	丛
wwgc	坐到
wwge	假途灭虢
wwgg	佺
wwgh	坐下 从政
wwgj	伦理
wwgk	从事 人事
wwgm	人瑞
wwgn	欲与
wwgo	从来
wwgt	低人一等
wwgu	僜
wwgv	人妻
wwhh	价目 睂
wwhj	八仙桌
wwhq	人物 谷物
wwht	伯仲叔季
wwhv	人眼 偷眼
wwhw	坐具
wwhx	从此
wwig	俭 催人泪下
wwia	坐满 价值不菲
wwic	人治
wwif	人潮
wwih	从小
wwil	从不
wwim	从没
wwin	偷漏
wwio	偷渡
wwip	伦常 仙人掌 坐堂
wwis	人渣
wwit	人海 假公济私
wwiu	欲滴
wwiw	依依不舍
wwiy	人流 念念不忘 伱
wwjh	价
wwjc	从紧
wwjf	丛里
wwjg	份量
wwjs	坐果
wwjt	众星
wwjy	人影
wwkf	谷 䜰
wwkw	欲 谼 儉 倹
wwka	谾 䜫 㒢
wwkb	郤 卻
wwkc	谹 䜱
wwkd	豀 豅
wwke	豂
wwkg	鹆 谻 佮
wwkh	从中 䜮
wwkj	任人唯贤 螸
wwkk	人口 人品 谽
wwkm	人员 豄 䜬
wwkn	从哪 慾 㒆 䜲
wwko	鵒 䜯
wwkp	逧
wwkq	令人喷饭
wwkr	偷听
wwkt	偷吃 谺 豃
wwku	耸人听闻 任人唯亲
wwkv	䜪
wwky	㞃
wwlc	从轻
wwlf	价值连城
wwlg	坐车
wwlj	儈
wwls	坐困
wwlt	从略
wwlw	人界
wwma	倫
wwme	坐骨
wwmf	耸峙
wwmh	佡
wwmi	仆仆风尘
wwmm	丛山
wwmq	人见
wwmr	人贩
wwmw	人肉 份内
wwmx	仇人见面，分外眼红
wwnu	怂
wwna	人民
wwnf	从那
wwng	人情 偷情
wwnh	坐收
wwni	伉俪情深
wwnk	依依惜别
wwnn	丛书
wwnr	令人发指
wwns	偷懒
wwnt	人性 从属
wwny	人心
wwon	仱 㑫
wwoa	坐席
wwod	人类
wwof	坐庄
wwog	从业 人精
wwol	人烟
wwom	僋
wwoo	欲火
wwoq	谷底
wwou	谷粒
wwov	人数 份数
wwoy	人为
wwpy	伶 坐视 人祸 众神
wwpa	从宽
wwpb	人字
wwpf	坐守
wwpg	人家 坐定
wwph	坐牢
wwpl	从军
wwpp	任人宰割
wwpt	份额
wwpu	从实 坐实
wwpv	偷安
wwpw	从容 偷窃 偷窥 偷空
wwqa	人氏
wwqf	坐镇
wwqg	价钱 人鱼
wwqh	份外
wwqk	人名 俗名
wwqq	众多
wwra	偷摸
wwrd	任人摆布
wwre	坐拥
wwrf	人质
wwrh	偷看
wwrk	保健操
wwrn	人气 俗气
wwrp	坐探
wwrq	偷换
wwrr	偷偷摸摸 偷拍
wwrt	人手
wwrv	坐垫
wwrw	坐失
wwsb	代代相承
wwsc	人权
wwsd	坐椅
wwsf	坐标
wwsg	人本 人丁
wwsh	俭朴
wwsi	人欲横流
wwsk	谷歌 从速
wwsm	人机
wwso	人杰
wwss	丛林
wwst	价格 人格
wwsu	人样
wwsw	代代相传
wwsy	俆
wwtc	凭什么
wwtd	令人生厌 众筹
wwte	俗务
wwtf	坐等
wwtg	人生 众生 偷生 丛生
wwtj	偷得
wwtk	人和 人种
wwtm	人身
wwtp	人人得而诛之
wwtq	人称 俗称 人人自危
wwtt	偷笑 仰人鼻息
wwtu	偷税 从简
wwu	仌
wwud	从头 人头
wwue	从前
wwug	人命关天
wwuh	坐着
wwuj	人间
wwum	从商
wwuq	人次 偷盗 坐姿
wwus	偷闲
wwut	人道
wwuu	耸立
wwuy	傍人门户
wwvt	份 人群 人妖
wwvb	坐好
wwvc	众怒
wwvs	丛杂
wwvv	爸爸妈妈
wwwb	谷仓
wwwd	从优
wwwf	价值 傘 侳
wwwh	䁞
wwwj	人偶 㫺
wwwm	伶俜
wwwo	从今 欲念
wwwq	人像
wwws	人体 从何
wwwt	伶俐
wwww	众人 偷偷 俗人
wwwx	坐化
wwwy	假人假义 假仁假义 㐺
wwxn	伦
wwxj	伙食费
wwxq	欲绝
wwxt	人人皆知
wwxx	人缘 仔仔细细
wwyb	伦敦 㑺
wwyg	人证 俗语 倠
wwyj	催化剂
wwyk	傖
wwym	人设
wwyn	欲望 众望 耸肩 儁
wwyo	僬 人迹
wwyp	售货亭
wwyt	俗话
wwyu	俗谚
wwyv	从良
wwyw	坐诊
wwyx	人畜
wwyy	人文
wxn	化
wxdm	倾 傾
wxaa	化工
wxah	佛牙
wxai	华东
wxaj	倾慕
wxb	仑
wxbe	华阴
wxbg	倾耳
wxbp	佛陀
wxcu	人强马壮
wxcw	化验
wxdd	华硕
wxdf	倾压
wxdh	华夏
wxdk	化石
wxdn	化成
wxeb	华服
wxec	化肥
wxeh	化用
wxej	㒩
wxek	货架
wxen	倾力
wxep	化脓 人皆有之
wxes	华彩
wxet	㑃
wxey	㑰
wxfj	华 倾塌
wxfa	佛塔
wxfc	货运
wxfd	倾城
wxff	货款
wxfm	华南
wxfn	货场
wxft	佛教
wxfu	化境
wxg	僶
wxga	化开
wxgd	倾天
wxge	华表
wxgk	佛事
wxgm	华丽
wxgo	偕来
wxgr	佛珠
wxhh	伄
wxhq	货物
wxia	倾泄
wxid	货源
wxif	佛法
wxii	华沙
wxip	化学 佛学 倾泻
wxiq	佛光
wxis	倾洒
wxiw	华兴
wxiy	倾注
wxjh	佛
wxja	化蝶
wxjf	华里
wxjt	他乡遇故知
wxkf	倾吐
wxkg	佛号
wxkh	华中 华贵
wxkk	货品
wxkr	倾听
wxlg	货车
wxln	倾轧
wxls	合纵连横
wxlw	货轮
wxmu	货 貨
wxma	佛典
wxmc	發
wxmg	偕同
wxmj	㔇
wxmm	佛山 华山
wxna	佛殿
wxng	倾情
wxnt	佛性
wxny	倾心
wxoh	货店
wxos	华灯
wxoy	化为 华为
wxpg	佛家
wxpn	父母官
wxpp	化之
wxpw	华容
wxpy	佛祖
wxqc	货色
wxqe	化解
wxqh	化外
wxqi	倾销
wxqk	化名
wxrc	货摊
wxrh	㒙
wxrk	货损
wxrn	介绍所
wxrt	佛手
wxsa	货柜
wxsg	货栈
wxsm	货机
wxst	倾覆
wxsu	货梯 货样
wxte	货船 货舱
wxtg	化生
wxth	儗
wxtm	货币 倾向 化身
wxts	货箱
wxua	化冻
wxub	化疗
wxuf	化装
wxug	华美 华盖
wxuj	货单
wxum	华商
wxuo	化痰
wxus	父母亲
wxuv	化妆
wxux	华北
wxuy	佛门
wxvj	倾巢
wxwb	货仓
wxwg	倾倒
wxwk	化合
wxwm	倾侧
wxwp	华佗
wxwq	佛像
wxwr	佛爷
wxws	倾斜
wxwt	华侨 化作
wxwu	货位
wxwv	倾盆
wxww	华人
wxwy	介绍信
wxxr	偕
wxxc	佛经
wxxm	华纳
wxxn	仳
wxxq	华约
wxxt	化纤
wxxw	僟
wxxx	化缘
wxy	㑄
wxyc	化育
wxyd	化斋
wxye	华裔
wxyg	货主 华语
wxyo	倾谈
wxyr	倾诉
wxyt	华诞
wxyv	货郎
wxyy	华文
wyg	信
wyrc	禽
wyaa	仪式 停工
wyad	储藏 仿若
wyae	集散
wyag	偏巧
wyai	付诸东流
wyam	焦黄
wyap	偏劳
wyau	停薪
wyav	焦切
wyay	储蓄 集萃
wybr	隽
wybd	依随
wybg	焦耳
wybi	信函
wybj	信阳
wybk	停职
wybm	售出
wybn	停了
wybp	住院
wybw	依附
wycu	隻
wycc	䨇
wycd	人高马大
wyce	俼 㒟
wych	欲言又止
wyck	停驶
wycy	停驻
wydd	偏大 坐享其成
wydg	仿古
wydh	储存 依存
wydm	顀
wydn	集成
wydp	信达
wyds	会议厅
wydv	食肆
wydw	信奉
wydy	仪态
wyey	依 偯
wyeb	信服
wyef	住脚
wyeh	信用 食用 停用
wyek	依靠 停靠 仿造
wyen	㥋
wyep	偏爱
wyew	停办
wyfj	隼 储 儲
wyf	詧
wyfb	分文未取
wyfc	储运
wyff	信封 焦土
wyfh	食盐 仿真 住址
wyfn	售卖 售罄
wyfo	鶽
wyfq	偏远
wyfr	八方支援
wyfy	傠
wygg	住
wygl	隹
wygb	停顿
wyge	仪表
wygf	偏于
wygh	停下
wygq	焦裂
wygx	食素
wyhc	偏颇
wyhh	停止
wyhi	信步
wyhj	依旧
wyhk	焦点 停战
wyhm	仿制
wyhn	焦虑 雋
wyhq	食物 信物 储物
wyhw	食具
wyia	信汇
wyib	分文不取
wyif	依法
wyig	停滞
wyih	偏小
wyii	停水
wyim	食油 焦油
wyip	食堂
wyiq	偏光
wyir	停泊 偏激
wyiv	停当
wyiw	信誉 分文不值
wyiy	僦 倞
wyjh	侪 仿冒
wyjf	儕 㑪
wyjg	储量
wyjn	停电
wyjo	集显
wyjq	停歇
wyjv	依照 仿照
wykf	售
wykd	依顺
wyke	儴
wykg	信号
wykh	集中
wykk	食品 仪器 住口
wykn	䎏
wykr	偏听
wyla	焦距
wylf	集团 偏转
wylg	停车 儃
wylk	焦躁
wymn	伉
wymb	集邮
wymd	焦炭
wymk	傐
wymq	偏见
wymr	信风
wymv	公诸同好
wymw	食肉
wyna	偏
wynd	㑦
wynh	禽蛋
wynm	仗义疏财
wynn	傓
wynt	停发
wynu	停飞
wynv	侫
wynw	侅
wynx	住惯
wyny	信心 偏心 僱
wyou	焦
wyoa	信度 焦煤
wyoc	依序
wyod	焦糊
wyoe	㲬
wyog	鹪 停业
wyoj	劁
wyom	顦
wyon	偏废
wyoo	停火 鷦
wyoq	焦灼
wyoy	食粮 㑊
wyps	停 仿宋
wypa	停赛
wypd	進
wype	儫
wypf	信守
wypg	住家 人迹罕至
wypt	住宅 食客
wypu	偏袒
wypv	偏安
wypw	住宿 食宿 仪容
wyqd	依然
wyqe	偏角 㒅
wyqf	集镇
wyqg	储钱
wyqn	体育馆
wyqo	燞 䳡
wyqq	保证金
wyqr	集锦
wyqt	偏锋
wyqv	焦急
wyqy	停留
wyry	仪 仗义执言 㒧
wyrb	信报
wyrd	偏振
wyrf	住持
wyrg	售后
wyrj	众望所归
wyrn	依据 住所
wyrt	依托 信托 住手 停手 信手
wyrv	偏执
wyrx	食指
wysu	集 住校
wysc	集权
wysf	售票
wysk	依赖 信赖
wysl	人言可畏
wysm	停机
wysn	信札
wyso	售楼
wysv	偏要
wyt	仿
wytb	人弃我取
wytc	偏私
wyte	信笔
wytf	信徒 偃旗息鼓
wytg	偏重 信笺 仿生 偏生
wyth	信息 住处
wytl	储备
wytm	偏向
wyto	偽
wytp	食管
wytq	偏移
wytr	依稀 依循
wyts	信箱 信条
wyty	倣
wyu	亽
wyua	偏差
wyub	食疗
wyuc	偏瘫
wyue	售前
wyuh	住着
wyul	禽兽
wyup	偏旁
wyuq	集资 依次
wyur	仿效
wyut	停产 食道 仁义道德
wyuu	䧶
wyuy	偏门
wyvu	食
wyva	戧
wyvb	偏好
wyvf	停建
wyvi	从谏如流
wyvj	創
wyvk	仿如 倉
wyvo	鶬
wyvp	䢢
wyvt	集群
wyvw	飮
wyvy	俍
wywa	信贷
wywc	雙
wywd	依仗 仪仗
wywf	集会 储值 倅
wywg	信使 伉俪 䨊
wywh	信件 犨
wywk	集合
wywl	依偎
wywn	偏僻
wywo	信念 㸈
wywq	信仰 偏低
wyws	集体 雧
wywt	信任 焦作
wywu	全方位 依傍
wyww	售价 食欲 依从
wywx	仿佛 售货
wywy	偏偏 停住 偏食 讐 雔 雥 雦
wyxf	集结
wyxl	傗
wyxm	集纳
wyxn	依纪
wyxq	集约 信纸
wyxx	众说纷纭
wyxy	伭 㒕
wyyy	雠 信访 食言 讎
wyy	伩
wyyf	住读
wyyh	犫
wyyj	停课
wyyk	集训 㘜
wyym	集市 偏高
wyyn	住房 住户 隽永
wyyo	依恋
wyyq	偏方
wyyr	偏离 信义
wyyt	停放
wyyu	食谱
wyyx	禽畜
xca	经
xnny	母 糹 䋟
xxx	幺
xtn	匕
xag	红 紅
xanw	练
xaab	绿茸茸
xaae	练功
xaai	红藻
xaal	红薯
xaap	绿莹莹
xaav	红苕
xaaw	红花 红茶
xaay	綫
xabg	縙
xabm	练出
xadt	绒 絨
xadf	红唇
xadm	绒布 红布
xadn	练成
xado	红磷
xadp	练达
xaek	红肿
xaet	绒毛 繖
xaew	红脸
xafg	绀 紺
xafc	红运
xaff	红土
xafn	红霞
xafq	绕远
xafy	红壤
xaga	练武
xagc	练到
xagg	练琴
xagk	红豆
xagy	红斑
xahf	䌑
xahh	弫 弬 䋗
xahl	繿
xahq	纜 䌫
xahv	红眼
xaif	红尘
xaip	红学
xaiq	红光
xais	红河 红酒
xait	红海
xaiu	红润
xajc	绕紧
xajd	縸
xajj	红日
xajl	红螺
xajp	红晕
xajs	红果
xajt	红星
xakh	缂 绕嘴 緙
xakf	红叶
xakg	緎 䌍
xakj	练唱
xakk	彄 䌔
xaky	䌯
xalg	緢
xalm	红轴
xalt	绕路
xalu	绕圈
xalw	䌩
xamd	緓 绬
xamh	绒帽
xamw	彉 䌙
xang	弡 䋌
xann	绁 紲 䋐
xans	弽 緤
xanu	练习
xany	红心
xaoa	红烧
xaoj	红烛
xaol	弹药库
xaoo	红火 红糖
xaoq	红焰
xaos	红灯
xaow	红粉
xaoy	红米
xapb	练字
xapl	红军
xapt	红客
xapu	红袖
xaqc	红色
xaqf	绣花针
xaqh	红外
xaqj	㣅
xaqm	红铜
xaqn	红包 繱
xarg	练兵
xarr	张牙舞爪
xart	练手
xarv	红热
xase	红杉
xask	红杏
xasm	红枣
xaso	红楼
xasq	红桃
xasr	红棉
xass	红木
xast	红梅
xasu	红榜 绣花枕头
xasw	红松
xatq	绕
xatb	红透
xatd	绕舌
xate	红笔 㣁
xatg	绕行
xath	红牌
xatj	红利
xato	䌲
xatp	纄
xauf	红装
xauh	绕着
xaut	绕道 红颜
xauv	红妆
xava	绿草如茵
xavb	练好
xavs	红嫩
xavy	红娘
xawi	练剑 䌨
xawk	䌋
xawo	䌭
xaww	红人
xawx	弥勒佛
xaxa	毕恭毕敬
xaxb	练级
xaxe	绕组
xaxg	红线 绒线
xaxk	红绳
xaxm	红绸
xaxv	红绿
xaye	红衣
xayi	练就
xayn	红遍
xayo	绕弯
xayq	红方
xayt	红旗
xbyy	级 級
xbn	弛 毑 䊶
xbbb	䌰
xbbu	级联
xbcl	䋼
xbcy	緅
xbft	继承者
xbg	弭 㝀 䋙 䌺
xbh	鄳
xbhc	弢
xbke	级别
xbmh	绌 絀
xbov	级数
xbrg	红卫兵
xbsc	继承权
xbsk	䋪
xbua	级差
xbuq	级次
xbww	继承人
xbxb	绝子绝孙
xbxe	弛缓
xbxm	维也纳
xbxn	㢽
xbyd	强取豪夺
xcy	弘
xccc	缀 綴
xcag	弪
xcan	经世
xcap	经营
xcce	縿
xccs	縔
xccw	经验
xcde	经历
xcdr	弘愿
xcdw	经期
xcen	引颈受戮
xcep	经受
xcew	经办
xcey	经脉
xcfh	绎
xcfg	経
xcfp	经过
xcgj	经理
xcia	缀满
xcif	弘法
xcip	经常
xciy	经济 㢱
xcjh	纾 紓
xcjk	繘
xcjq	䥒
xcjs	䋴
xcjt	䋒
xcjy	強
xckg	绐 紿
