auui	以
xejo	精靈 煙臺
iats	機身
grdj	歷屆
xlxn	燦爛
ifda	隸屬
hsut	警覺 驚覺
gljn	正規
hsoq	有別
zbyx	決議
hdsx	取勝
nlwt	則應
bbyu	限於
bvfp	降臨
tfni	倒閉
afda	純屬
aarp	幾種
iifo	禁區 林區
xxjx	榮幸 善報
xsxj	燃燒
aalv	出處
ngxx	光榮
yptz	放進
esum	青島
entv	現貨 真僞
aaso	幾句
spjo	遙遠
kdrv	昵稱
xqdj	鄰居
jgpj	震動 輕重
hulx	藥業
ywcb	讓她
mvnv	內閣
webx	主隊
sxeo	行駛
odtn	哪個
vfwp	狹窄
ninj	財團
fdnj	堅固
nrec	販毒
yfyf	試試
njon	團員
ygyn	語音
lggl	劇烈
sppj	衝動
lgau	獻給
hemt	聽眾
yain	變相
rdja	反擊
kjaa	甲級
glue	列舉
vcnq	妥當
jcts	車身
rrvh	所獲
rjzo	近況
sbda	很強
inas	相約
afrl	純利
aslv	將此
anez	組長
yrga	訴求
vrwl	飯店
ibcl	極力
wcxw	實為
jtjm	熱賣
azlg	編劇
fphu	醫藥
gbil	不來
fzxw	至為
sqoe	股數
jfnm	城門
hgjz	帶走 敬而遠之
gfwp	殘疾
pbvc	節錄 筆錄
vpps	飾物
ygvc	語錄
enew	醞釀
hitw	左邊
wgth	完備
xltp	並作
iybv	校務
pjon	動員 㸵
dacl	強力
ganj	救贖
ugag	途經
fhau	描繪
xtut	道學
zhyg	漢語
fpwn	監視
wuau	寫給
oete	數值
ddef	選票 發票
mvha	山莊
rdho	反觀
cpnj	少見
gvyu	死於
baxw	即為
jcro	車程
gmnf	兩國
rrxw	所為
bthg	附帶
hjhg	苦難 蓮藕 鞋帶
qfjy	風雨
pjyq	特設
wdjq	疲軟
jdbf	起飛
ygih	產權
akaf	細緻
fzzw	匯演
upzh	粵港
amec	綱要
svfy	銜接
yeuo	請向
lsjx	上報
yanq	充當
joyx	臺商
pfez	年長
tlbl	佔了 偼
xfmy	判罰
dbjt	局勢
okyf	忠誠
zdhn	波蘭
bfex	陝西
yxve	商鋪
nfwh	國度
enhy	現職
zqwp	盜竊
npte	貶值
qstz	解僱
nofs	圖示
fprj	臨近
uwhj	懷著
fdsd	大衛
aanm	出門 絕緣體
voan	各組
aprq	收盤
nrjm	販賣
uwbf	創建
ngrq	開盤 光盤
hegy	黃頁
agvw	經貿
ovio	跳樓
yejb	請教
ydtp	證件
ktsg	田徑
wcwr	安寧
xmhn	米蘭
vwau	留給
sksx	得勝
kaye	累計
phkh	無異
meyu	置於
bjxw	劃為 畫地為牢
wgvw	賓館
ioix	樓梯
wtlx	應對
ttyg	雙語 俗語
nmyy	體諒
gujz	一連
vrdd	入選
gbjo	不遠 不靈
hsvf	有錢
tlsy	佔用
wryb	祕訣
dasx	強行
phek	無理
ddti	發射 選集 選段
jeti	雲集 老驥伏櫪
wczo	實況
xehg	憑藉 焼
aupn	總算
wpiy	複核 審校
fpbv	醫務
cpjd	響起 響聲
cbhg	好難
gvsa	死後
flno	到過
ezgj	長春
bfyu	建於
bjnv	書目
vqzk	飢渴
gayh	救護 不絕於耳
egaa	頂級
gfep	殘酷
tjyd	傳記 傳誦
fsgo	搖頭
yfkg	試題
ykka	彰顯
yuml	論點
ials	機上
emaj	環繞 再續
ulyu	歸於
yyyh	辯護
euml	十點
jwys	下調
gbyy	不該
zzvb	之爭
emen	再現
nmyu	門診
nlyt	則說
zuxw	淪為
nlts	貼身
bxez	隊長
ugdt	會費
wenl	補貼
fdnl	緊貼
yyqs	諒解 辯解
wmrg	禮拜
gljc	列車
sasu	服從
tnnm	個體 側門
dxml	弱點
suuw	從今
cutt	習俗
yoyw	就讓 韻文
yiia	新機
spfw	遙控
ijyl	樹立 核電站
ysgo	龍頭
mlml	點點
mvfo	山區
tiyj	付諸
xlfw	並按
btyq	附設
ypgk	施壓 高血壓
tnsq	個股
avml	終點
yjyr	童話 詩意
nwhk	貯存
yfhe	試聽
fmuj	摧毀
ftnd	奮鬥
fyez	擅長 拉長
yida	親屬
gogm	頭面
gubx	一隊
cxum	小島
wejk	主場 主軸
cbye	好評
aprh	收穫
ttce	爸媽
zuyx	洽談
guuw	原創
dhfo	展區
xtlv	益處
fynj	接見
nihk	閉幕
phgh	無形
fref	搬遷 拆遷
nokj	過時
yjco	諸如
ykrt	課稅
vhrl	獲利
lsdx	上層
jwro	專程
pcvt	敏銳
jztr	連任
wdpx	廢氣 官氣
dfno	慰問
yjqq	諸多
yspj	調動
yxvi	適逢
retd	積分
hayc	聯辦
wbia	良機
xjho	美觀
hmvy	英鎊
znzf	消滅
dezi	張江
phrx	無心
rtya	稅率
jkpj	電動
ejdd	甄選
jtas	熱水 熱能 勢能
bvnh	隱瞞
aajm	出賣
oate	叫價
jook	臺中
novo	回饋
tpte	作價
wcdd	案發
zven	浮現
ngov	開口 開路 回頭路
ngna	開關
wxte	廉價
nokg	過量 問題
grkj	歷時
auat	纖維
dftz	民進
psnm	物體
yxnf	帝國 敵國
xwqo	為名
jkvw	場館 電鍍
txlk	焦慮
jeem	雲南
vqxz	飲料
ibcp	極少
scyo	腦部
jyub	較快
qjpn	運算
wuhk	寫在
fjjo	擂臺
yxoq	辨別
belx	也對
ngau	光纖 光線
hsxw	有為
vbin	爭相
fwkj	按時
toio	售樓
jxkd	執照
akju	紳士
bubk	陰陽
phyk	無謂
ngig	開工 骬
houu	聖人 歡愉
lxub	對白
ytsa	說服
uamh	樂曲
ykvu	課餘 㚆
jmaa	賣出
dada	遲遲
ootj	遺傳
vnwg	鎖定
mvuo	內向
aaxl	出爐
ffil	找來
wvqj	客運
xwhj	為著
wbyd	朗誦
lvyu	處方
yyfv	該批
oyqo	跡象
foas	操縱
mgsg	還須
migk	豐厚
vabl	雞蛋
gbyp	不許
tqas	你將
fhth	戒備
pcgy	每頁
gaut	求學
ilyg	來講
cayu	始於
rxjc	乘車
znib	消極
ddya	發育
rtjf	稅款
osjc	跑車
azge	編碼
utnj	學園
oknd	戰鬥
ddfo	選區 居民區
hayw	聯誼
kyil	由來
qqlf	多歲
oqke	別墅
ypei	放鬆
xqjt	姿勢
gpxx	殊榮
bqyu	陷於
tjfk	傳揚
fzto	匯兌
agvn	經銷
qsst	解脫
kktg	暢順
ytwg	說完 誰家
autk	線條
weem	寶馬
dwge	尺碼
iwbo	未盡
dfqj	民運
pcan	每組
jcxz	車迷
jcbx	車隊
xsvv	前鋒
sbez	很長
zpmf	海峽
bvrp	務必
nfyl	國立
phbo	無盡
heyg	華語 聽講 耳語
nglx	開業 開鑿
hzem	落馬
jkls	趕上
bpqd	遜色
ddok	選單 選中 發單
vchd	錄取 獵取
lsnm	上門
mlja	刪去 點擊
zvwv	淨額
nbnj	眼見
sxno	勝過
kypx	景氣
ddjk	發電
aayo	絲毫 組織部
tjau	傳給 傳輸線
ibyu	概論
jkov	電路 趕路 㗯
nowj	圖庫
igpo	構造
ysqs	調解
gosc	頭腦
mgjg	還需
yjps	讀物
tpok	作戰
uwgo	念頭 領頭
nlwd	則被
inyy	相識
qjyu	軍方
yoys	高調 烹調
yztd	這隻
dsqf	通風
mhjj	黑幫
tpjt	傷勢
fzte	匯價
nosk	過得
nohj	過著
nojy	過境
fthd	奪取 㼽
zjjs	漸趨 㴳
ytbe	誰也
gkfv	壓抑
ogii	嚴禁
gkjs	更趨
xlsy	並用
brok	孤單
wiqj	空運 空軍
tija	射擊
zpqj	海運 海軍
hozi	聖潔
ftie	奪標
lxwg	對家
rvop	稱呼
wtnp	腐敗 褒貶
oexq	數次
iapj	機動
lqvw	餐館
auam	繳納 總綱
whwq	癱瘓
apwn	收視
pste	物價
bzmg	退還
ndvb	鬥爭 圍墾
phml	無罪
ddbl	發了
juia	趁機 輪機
tzip	進攻
qsyj	解讀
obos	跟蹤
jyhg	較難
jkeg	電玩 垾
joyp	嘉許 遠遊
lgnj	劇團
flrv	據稱
djfh	彌撒
xxap	營收
uubs	人際 䶃
zjnl	法則
enut	直覺
twtn	傢俱
wrfe	祕技
nfhs	國有
xklx	曾對
adyc	絕望
tgig	例項
iawr	機密
yxyd	辨認 㿶
pnpg	簡短
hqzt	蘇州
ajhs	續期 裝有
heut	聽覺 勤學
zzrv	之稱
mvyq	內設
fwib	太極
sayd	後記
aiyp	紅旗
pjkk	重疊
bjty	書信
tkje	偶爾
suzq	從沒
siyg	術語
bjqj	陸運 陸軍
xxxq	勞資 歘 飊
phun	無懼
phih	無權
ngde	開張
bohk	盡在
fduz	緊迫
ygzj	語法
ykql	課外
okjk	戰場
yqim	諷刺
ngtx	購併
wmvu	禮貌
hgdf	難民
euyd	驗證
gunm	一體
jano	去過
munm	肉體
vqwp	受審
feoe	奇蹟 奇數
jrxt	軌道 斬首
tjvh	做錯
sugl	從政
khup	異性 暴斂
avps	終生
jolg	喜劇
ajtx	結伴
ajyy	結識
nhnv	賄賂
njhd	團聚
rsst	手腳
qqnf	多國
ajfd	壯大
hggo	帶頭 芋頭
ypjj	旋轉
khyx	異議
ybmh	詞典 詞曲
zggo	源頭 決一死戰
ovsg	路徑 口徑
amuw	綱領
wuhj	寫著
yeil	請來
efrq	遷移
yahg	變革
nmfo	體操
rsjk	手電
tfyc	代辦
ubjx	快報
njwv	見底 見客 賭客
nljg	則需
pjih	特權
avls	紙上
jxpb	執筆
fyhe	接聽
phac	無緣
wnau	視線
yexf	評判
hktd	萬分
vujd	鈴聲
borx	盡心
gxgh	磁碟
wdxz	廢料
fnme	擱置
vjti	鐳射
doxw	又為
htxw	共為
qomu	名冊
toen	兌現
xlye	並請
zneo	沮喪
envn	直銷
vvvb	金銀
ezes	長青
qbyu	急於 急診
wgnj	家園 㝟
asyt	能說
zynm	液體 房門 流體
phgv	無礙
hkat	萬維
nozl	過濾
ualg	慘劇
ytus	誰的
vnxu	銷燬
vhpj	錯失
innv	欄目
rswk	手裡 手裏
qqvu	多餘
jswt	均應
ypno	放過
enau	直線
kjbb	時限
pjfs	動搖
ffvp	掩飾
haog	莊嚴
jzem	連環
ugwp	會審
yxiw	詳述
zhwn	漠視
pmhu	製藥 筁
ekil	醒來
ajls	牆上 裝上
aubv	總務
vegk	鎮壓
fnef	攔截
yxzb	議決
joxx	露營
otzt	只顧
ngzt	光顧
nmxs	門前
satf	後代
rxia	乘機 心機
jbon	教員
jxsp	報復
zhfo	港區
tzew	進駐
yegu	請願
yhga	謀求
lqvq	餐飲
aukg	總量 總是
ygxj	講義
ulmg	歸還
hgyu	難於
wewj	寶庫
lstn	上個
aate	出價 幾何
bgtx	司儀
ottl	只佔
ugxx	合營
tste	身價
bypj	防範
kuau	界線
qfoi	風味
iyyt	校訓
srfe	脈搏
ftda	推遲
phtw	無邊
ugxs	會前
yfin	試想
nokz	過早
ydyd	認證
whxw	廣為
jthg	熱帶
sdwn	衛視
yxjd	談起 齊聲
utyt	學說
rehd	積聚
wtuy	應邀
hgyx	艱辛
qkqv	鯉魚 鰻魚
yduu	證人
ymig	譯本
lstj	上傳
jupx	士氣 輪番
ksup	申奧
jaia	劫機
rnbj	看書
wdxx	疲勞 䆸
emgo	馬頭
aadh	參展
kqvr	晚飯
ddxf	發送
yeir	評析
fakj	頓時
bobl	盡了
iols	樓上
aueq	線索
wpfi	複式
gkuz	壓迫
ttst	雙腳
kvyj	日誌 略讀
nvaa	四級
ymmv	市內
lvnk	此間
czwn	巡視
byyh	防護
fsqn	抱負
kvll	昆蟲
weyj	宣讀
ytfo	郊區
emcl	馬力
yqin	設想
ajks	結盟
zxte	溢價
amoc	網咖
ydml	認罪
dxyo	層高
fllv	據此 到處
iaas	機能
wtyp	應許
vhsx	獲勝
jjqj	轉運
nxxf	贈送
nafd	關切
noks	闡明
hesu	聽從
rjdj	九屆
gbag	不經
ytfz	交匯
hsrp	有種
enjx	直達 真摯
rgyy	拜訪
bijq	柔軟
bjyb	書訊
thok	備戰
upwr	奧祕
yjyb	詩詞
jypg	較短
xeaf	精緻
ytpo	誰知
uthd	學友
gkpm	壓制
pnzi	簡潔
jjpj	轉動 轟動
aqpn	纔算
aayg	出產
jgoe	古蹟
fbyg	成語 盛產
hsvu	有餘
tpyd	作證
oejx	呈報
vaok	迎戰
esni	青睞
asnj	約見
qnht	負荷
bfsw	飛往
ylmv	站內
nfyp	國旗
yzde	這張
aagk	幾百
ajvu	結餘 壯錦
nkbg	間隔
cgti	彙集
boka	盡顯
yetq	請您
daup	屬性
guhe	一聽
jwjc	下車 專車
dsft	勇奪
tyjc	停車
cvac	婚紗
yovr	烹飪
qvxj	魚類
khhg	最難
jkql	場外
fzhd	匯聚
njhj	園藝
hhil	惹來
uplg	粵劇
jyxs	較前
igin	構想
ydze	認清
lgmh	戲曲
olyt	雖說
yaoe	變數
okqf	中風
hovb	右鍵
jojw	臺下
tlfl	佔據 佔到
fyvb	抗爭
dpan	改組
njyu	見於 見方
ikhz	東芝
xbth	兼備 甉
cgns	剝削
bvwc	務實
zqlv	深處 蛍
jxje	報考
gnyr	惡意
rtxs	稅前
pbqo	筆名
puyy	答辯
wncl	視力
yedd	評選
nlav	貼紙
ngnd	開闢
ibtj	極佳
hznp	落敗
jydx	較弱
mhjk	農場
jgtg	輕便
umke	興旺
nmjy	體壇
eoua	可樂
qlez	外長
qlyg	外語
sykj	用時
geyu	而論
jcsx	車行
aaaw	糾纏
ezeh	長髮
tuyt	卻說
ypvw	旅館
rnrh	租戶
ryqj	航運 秔
lvau	處以
heze	黃河 聽清
yfuy	誠邀
ypua	遊樂
wcok	實戰
yern	請看
ddjl	選址
awcx	縮小
pcwp	繁複
twbs	邊際 躴
yarp	變種
dkyr	引誘
kvyg	日語 日產
aaok	出戰 參戰
igtk	本條
wbyb	字詞
ijad	杜絕
zqhj	沿著 沉著
wila	空虛
zpwm	洗禮
yljo	站臺
yicb	討好
heft	勤奮 䕙
mlno	罪過
vsvq	飽受
njez	團長 見長
wcnm	實體
jgie	輕巧
vbhk	銀幕
ieyg	標語 䛒
xmng	燭光
ajdo	牆壁
auec	總要
dawc	屬實
iphe	才華
dkyd	引證
svgr	月曆
qqlv	多處
jcgo	車頭
ypng	放開
ezjv	長老
tuas	卻能
zyzz	流淚
wrpg	祕籍
tzjo	偏遠
notk	問候
pgyb	短訊
yuza	診治
nlhk	貼在
rhng	郵購
jeyb	填詞
atja	維繫
jrwg	暫定
ieks	標明
astu	獎牌
oksa	戰後
xqdd	遴選 煥發
tgsj	優待
qsut	觸覺
lsjc	上車
bzbp	子孫
rsyd	手記
edau	支線 配給
syno	用過
volv	各處
apjk	收場
jcbz	車子
hday	取締
bece	阿媽
tbih	侵權
iklv	查處
asjg	約需
xjqj	美軍
sauv	胎兒
pxoi	氣味
qqbl	夠了
anrc	組委
dsnl	通則
okuu	單人
spgu	復原
ekhj	朝著
ddxj	發燒 選美
yffq	試探
ovoc	跳躍
jkpx	電氣
bgnj	預見
zwcu	演習
jxzf	增減
jgzk	震盪
ajjx	牆報
jjia	轉機
jwio	壞事 下樓
hsyb	警訊
vbvh	犯錯
vgyd	印證 印記
xutu	冷卻 炌
ioae	束縛
xlgl	並列
flug	到會
wfno	穿過
wjka	突顯
jsvd	胡亂
qfvi	風采
kjjw	時下
jdnj	起見
dawh	強度
joyb	喜訊 臺詞
nlrj	貼近 睚眥必報
hodh	聖殿
yfsx	試行
noxw	圖為
yxth	齊備
fofe	毆打
utzr	學派
xxvn	營銷
ygwr	講究
ziqj	鴻運
twku	邊界
ydhj	記著
nyym	鬧市
jtwo	熱衷
zzas	淚水 㴃
hauw	蘊含
pjya	失戀
frqj	搬運
utbz	學子
took	保單
nook	圖中
wboy	痕跡 字跡
idia	契機
okau	中線 戰線
jkxd	電燈
ngia	光碟機 開機
uoik	向東
ipjt	攻勢
fqil	換來
okwc	忠實
ftyu	推論
zfqo	減免
utjx	學報
jjug	轉會 幫會
tksp	修復
ifad	樞紐
jjsy	轉用
fmzn	揣測
mgda	同屬
phup	無悔
uohj	向著
xwkj	為時
auik	以東
xlyt	並說
bjls	書上 陸上
wrqk	祕魯
ygpx	語氣
ykyw	課文
ulil	歸來
suwu	從容
enth	責備
ueez	全長
wdya	初戀 廢棄
tulx	卻對
yfml	試點
lcxm	蠟燭
beyw	也讓
wvyh	庇護
ezlv	長處
wtby	應予
umls	島上
jjvr	轉入
xslj	前輩
uwaa	創出
njno	贖回 團圓 骷髏
ypqf	旋風 放風
tbnf	他國
tqsu	你從
phas	無能
oatz	踏進
hofg	觀感
exuw	平倉
jtfd	熱切
jkyf	坦誠
jfno	越過
ugwj	會社
sdma	包羅
bgez	司長
ytyh	說謊
wnwg	廠家
xxjb	營地 勞教
gbye	不計
tzda	自強
wbjx	慶幸
tvyr	傾訴
honm	聖體
veyq	鋪設
pfav	年終
uejd	舉起
hjuc	苦惱
otyt	只說
yxjx	商報
sknj	得見
ctoc	雀躍
hjin	著想
cpsw	嚮往
exaj	西裝 平裝
ncut	助學
lfwm	非禮
edlx	配對
autd	總分
uebj	全書 情書
ykbo	竭盡
nmnl	體貼
psye	生計
ikno	查問
iywb	校慶
sute	從何
tahy	公職 儀態萬方
jynk	坊間
xxjt	炎熱
ysph	調升
phjp	無故
enda	直屬
akak	細細
ajyg	結語
jdkj	超時
ngrh	開戶
nqfb	當成
htvf	花錢
satz	後進
fkkj	揭曉
aayw	出讓
sxvn	行銷
atvb	紛爭
nuxu	閃爍 助人為樂
dino	已過
fyjr	接軌
utyy	學識
gfnf	天國
qqya	多變
ngds	開通
hmok	夢中
whei	寬鬆
tgtv	優化
tube	卻也
guaj	原裝 原狀
pojt	造勢
zfyc	滅亡
ddtk	選修 發條
hkyt	在說
bjbj	書畫 陣陣 畫畫
utxs	學前
ffhj	掩蓋
bgjx	預報
vuie	錦標
qosx	名勝
wjhk	庫存
psmg	生還
jctu	車牌
hegm	華麗
ngjc	開車
bhyu	敢於
kzys	遇襲
reka	積累
vram	入網
htye	共計
txng	併購
jgwn	輕視
nevr	闖入
lfas	鹹水
tjxw	做為
ykpb	章節
phnq	無常
sjse	膨脹
jjne	轉賬
wnzz	視之
vhga	獲救
asjt	態勢
nujk	閃電
awhj	綜藝 纏著
nahk	關在
fpyb	致詞
hyyc	荒謬
lxto	對保
jusa	輪胎
apdd	收發 䌣
xfjx	送達
azye	編訂
bvgs	隱憂
fxwr	遼寧
rkhy	香菸
tkdd	候選
zpfo	海區 海鷗 浴血奮戰
gdvh	破獲
oksi	戰術
htou	共鳴
lvcv	處女
ddzk	發洩
auro	總和
iqys	恐龍
joyu	遠方
pxjt	氣勢
hkdf	萬民
sybo	用盡
xtsc	首腦
jkaf	電纜
utwt	學府
nicl	財力
wenc	補助
vmgj	獨奏
cbhe	好聽
advu	盈餘
yxkj	適時
wtsk	應得
penk	午間 重要問題
jolv	遠處
spgd	衝破
eidb	鬆弛
fenp	打敗
tpzt	作準
dsjx	通報 通達
bjww	畫廊
ddmg	發還
taxw	仍為 自以為
sjaj	待續
njii	園林
avro	緩和
ewwi	駐守
zfuk	減慢
yjbl	讀了
dfnf	民國 發揚光大
sxsg	行徑
ksnf	明瞭 盟國
ftqg	奪冠
mlas	點水 點將
avkv	終日
hzdd	落選
jwda	下屬
wvau	底線
nvnk	瞬間
pnot	簡史
tzyd	自認
hkrq	萬千 萬般 存盤
zqdx	深層
phra	無私
gcyo	頸部
qoas	名將
fbnp	成敗
fsfm	搖擺
rcvy	秒鐘
vwmv	館內
yaut	玄學
veho	狂歡
lxbl	對了
mvwy	內衣
qjxx	運營 軍營
wyhj	衣著
nhqo	聞名
epjt	酷熱
ubil	快來
gztn	逐個
yxok	適中 齊唱 商戰
tajx	公報
hopr	歡笑 有口無心
yats	變身
sagf	後天
tkwe	修補 候補
skns	得閒
pote	造價
ytil	說來
cblg	好戲
ysfw	調控
efje	戴爾
thjk	供電 㒂
cxuv	小兒
guau	一線
hjnb	著眼
vqyp	受託
bnfj	阻撓
rhys	垂詢
thnt	借閱
jkau	電線
vmdj	獨居
naia	關機
vrmv	入內
nfac	因緣
avqs	緩解
yups	雜物
ytdj	六屆
muxj	肉類
wurh	窗戶
yiaz	新編
yszr	調派
mvuw	內含
mynl	罰則
kjsk	曉得
bogo	盡頭
wdav	廢紙
zmwh	濃度
naha	關聯
anbf	組建
kajo	顯露 顯靈
gbhj	不著
nvpb	四節
qort	免稅
aksf	細膩
nssp	逍遙
okuo	單向
heeo	聽歌 䔅
ilkj	來時
phls	無上
phqo	無名
bvaa	階級 降級
vuwv	餘額
kqjx	晚報
sbjo	很遠
odrp	哪種
frno	插圖
jkjc	電車 䡤
ocyq	另設
tosd	保衛
dsjc	通車
hamj	聯署
fpfl	臨到
bgfp	預覽
vyok	獄中
njjk	賭場 目擊者
juif	輪椅
agyx	經商
ofnf	跨國
ikfo	東歐
lvbj	此書
oehk	數萬
gfkj	天時
sahe	後勤
ypeg	遊玩
eolg	歌劇
tada	仍屬
hewt	華府
jblv	地處
ftzn	推測
hkas	萬能
hsez	警長
cvtg	女優
kjkj	時時
jyuk	較慢
wjjr	塵垢
fyja	撞擊 抗擊
ztlk	顧慮
kgoe	是嗎
pjhe	動聽
ypmy	旗幟
jdjj	輾轉
xwdf	為民
aize	紅酒
zvpj	浮動 淨重
aktd	細分
jggh	輕型
jcdt	車費
sayu	後方
phpb	無缺
fpek	監理
waua	永樂
cbjw	好壞
eefp	博覽
wtuu	窮人
ihyd	權證
qqje	多雲
lnzi	貞潔
yzju	這塊
asaj	獎狀
buyh	陰謀
joem	臺南
hdfu	取捨
fyng	拉開
mxda	剛強
bjxx	陣營
fdrv	堅稱
ibbb	極限 榋
zmth	遍佈
yprf	旗艦
rpyj	必讀
ezug	長途
mxie	剛巧
wkho	神聖
bivn	尋覓
ngwg	開賽
tinj	兵團 欲速則不達 集團
uvrz	兒科
ieiy	標榜
hyih	職權
tgyu	便於 優於
hbdd	蒸發
ywln	讓步
fwjo	太遠
vqnh	受賄
nvja	目擊
fqyg	投產
ezjb	長壽
otvm	唯獨
ajed	裝配 壯丁
jkgk	電壓
xeak	精細
cxbx	小隊
wdez	被騙
zfgk	減壓
supx	脾氣
fdye	大計 竪
hsac	有緣
fwvb	按鍵
tkut	修學
edua	配樂
nqug	常會
yoaj	就緒 高牆
eown	可視
fdsc	大腦
zfrt	減稅
lsyd	上證
yirv	亦稱
cxfo	災區 小區
dadx	強弱
hgvf	艱鉅
behg	也難
cpez	省長 鄉長
lvtd	處分
jejx	填報
nals	關上
aanf	出國
zptw	海邊
obsu	跟從
vfwg	鑑定 鉅富
ncez	助長 縣長
yfxj	試卷
ximl	差點
pjbv	特務
acjd	緣起
coih	加權
ncyu	助於
zfxf	減半
ujjw	毀壞
yxnj	詳見 謎團
ytmg	交還
yjpz	詩篇
rvoe	稱號
iunt	檢閱
zqvh	沒錯
mgcb	還好
thtt	備份 偏聽偏信
aabj	出書
nonf	回國
qfed	風騷
wjug	廚師 社會
fgum	振興
zwlg	演戲
vdja	辭去
ktnj	田園
tuwp	偷竊 䜮
deng	張開
yjti	詩集
aaag	幾經
ikyd	查證
hgls	帶上
iodx	樓層
jsse	均勻
vxfw	猶太
tgwt	順應
inht	櫻花
pjuw	重創
efzf	裁減
hgvq	難受 碁
bgwj	司庫
htuw	共創
pout	知覺
fyhk	擁躉
zwbk	瀋陽
yekj	計時
wkug	宴會
rswu	手寫 䄪
lyyf	虔誠
hkof	萬噸
thdb	佈局
uyhj	忙著
nfku	國界
okfl	單據
yoai	熟練
haxx	聯營
gkya	百變 厭棄
wdmy	被罰
okyi	單親
gbrv	不穩
ovno	路過
jkdt	電費
yuaw	論及
xjue	美譽
ndho	圍觀
fung	搶購
lxwv	對它
ythj	說著
utel	學刊
cdif	奴隸
nfby	國防
pgau	短線
dpwu	改寫
gljy	政壇
kkyx	暢談
wuyr	寫意
ueaa	舉出
wcrv	安穩 䅁
fekh	奇異
dacc	強姦
zqnf	盜賊
eoyw	歌詠
maig	罷工
jjvn	封鎖
qjdt	運費 軍費
fdij	大樹
qltj	外傳
zjnm	法門
ddry	發稿
etno	駁回
iarp	機種
pyml	籠罩 制高點
ywwv	讓它
wcfp	安撫
dtkj	費時
guon	一員
aqlx	纔對
dsna	通關
htfi	舊式 䒫
ikvh	查獲
tnpj	側重
ygsa	產後
jmzv	賣淫
xwde	為那
zehe	清華 溫哥華
ujyy	毀謗
pcpb	每節
byzq	防盜
yccb	辦好
xwyd	為證
tknv	條目
ajti	續集
emeo	馬可
gnwu	惡魔
oerv	號稱
ddyj	選讀
ilyy	來訪
vxst	逃脫
ekxo	乾燥
gayu	求診
nowb	過癮
yufl	論據
pesa	午後
jzhg	連帶
aago	出頭 斷頭
bfnf	建國
exia	班機
hfig	藍本
mgaa	同級
tzuw	自創
vvnm	金門
yxgf	談天
aano	出過
tznj	偏見
iixj	焚燒
iozi	整潔
nnby	嬰孩
yqfb	設成
ngfu	開拍
mntz	買進
nkyh	間諜
psia	生機
omvn	吊銷
kiaa	果斷
xwbb	為限
ugcn	師姐
pxpx	氧氣
gfby	殘障
nenv	賬目
lgts	獻身
zyyg	房產 流產
mnyu	買方
tiyt	集訓
fvbf	擬建 䣟
tzno	自問
afzi	純潔
nfwe	國寶
ltvl	虧蝕
nggo	開頭 骨頭 光頭
jkwn	電廠 電視
wtsu	應從
jjfp	轉播
tluw	佔領
ikzp	東海
ugjl	會址
yeih	許可權
zcys	沙龍
detk	那條
hoyn	觀音
gfaj	武裝
nmrj	體質
wkut	神學
gmbx	兩隊
eftg	驅使
pevr	午飯
pjhy	失職 等職
funp	挫敗
hawh	聯席
kaks	顯明
qspj	觸動 㙰
fvml	指點
rhjl	郵址
ytyp	郊遊
kjvy	時鐘
bigl	陳列
rtsa	稅後
kvag	日經
fbtj	盛傳
xtyu	導論
kiwc	果實
tpnf	俄國
rhjx	郵報
yoyy	熟識
yajk	充電 變電
tvgo	低頭
nffg	國威
ypez	詐騙 族長
qjsw	運往
syyb	用詞
rhdt	郵費
bjsd	書包
azvg	編印
mvbj	內陸
bfgf	飛天
phym	無端
ttyc	雙贏
kjxj	甲類
ilwg	來賓
wjez	社長
eaaa	晉級 魂斷
innj	想見 相見
qsig	解構
yhyv	謊言 諾言 詼諧
mvhf	內藏
kyyt	由誰
rvzz	稱之
hyjt	蓄勢
ezbz	長子 騙子
jypj	較重
cvaj	女裝
glay	正統 裂紋
njcu	見習
xlsu	並從
gfdw	殘忍
mgxw	同為
ecfd	要緊
zfad	滅絕
hsvh	有錯
ipyj	攻讀
kyya	暗戀
skks	腸胃
scok	腦中
jbbg	壽司
fxvr	捲入
npjw	敗壞
heik	華東
qjfl	運到
gkgn	厭惡
vbye	懇請
ytjk	夜場 交電
tbvl	侵蝕
zfyg	減產
phgs	無憂
tgcp	優劣
mvgl	內政
qopx	名氣
wiyh	守護
pjjh	動輒
pjys	失調
boyt	晝夜
jmjk	賣場
oonm	遺體 串門
tuot	卻只 㒜
guxw	原為 願為
napb	關節
yhsd	護衛
jbbv	教務
sxtr	勝任
lxzn	對消
yksa	課後
haho	聯歡
fcys	抄襲
yxxx	辛勞 爕
jfve	城鎮
xsjo	炮臺 剪輯 前臺
ngek	骨幹
fdbh	緊隨
dakz	遲早
ogfe	嚴打
gbno	不問 不過
hebe	甘肅
khtg	最優
nqjw	當下
vujb	餘地
aayy	出訪 總參謀部
lfag	非經
enfb	現成 責成
jonj	遠見
bfdo	飛彈
lkqd	膚色
nafl	關掉
yxus	談的
zvrl	淨利 淫穢
azpn	編纂
vtyr	銳意
hnzt	蘭州
clvb	力爭
bysd	防衛
asyo	將就
jkjx	雷達 電報
wjnd	突圍
ecda	要強
lxoe	對數 對號
azay	編織
yuyd	論證 雜記
uujb	人壽 皨
uurv	人稱
vbjh	爭霸
vvmx	金剛
ezxx	酬勞
ygso	語句
